Carpeta; Latitud;Longitud
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / INDEPENDENCIA 01;-12.014652;-77.048057
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / INDEPENDENCIA 01;-11.992386;-77.045279
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / INDEPENDENCIA 01;-11.998985;-77.046968
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / INDEPENDENCIA 01;-12.002261;-77.05148
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / INDEPENDENCIA 01;-12.002855;-77.046346
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / INDEPENDENCIA 01;-12.00012;-77.040192
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / INDEPENDENCIA 01;-11.996531;-77.051411
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.977085;-77.057052
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.975541;-77.053421
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.975206;-77.054328
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.983195;-77.05652
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.980699;-77.055666
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.981327;-77.052358
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.985687;-77.053236
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.989072;-77.055567
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.992986;-77.055956
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.99245;-77.053575
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.992246;-77.050258
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.990775;-77.046975
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15332;-11.990291;-77.043313
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-12.008577;-77.05225
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-12.007497;-77.048115
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-12.01069;-77.048781
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-12.003501;-77.053757
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-12.003441;-77.050789
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-11.999811;-77.053908
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-11.999062;-77.050997
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-12.000609;-77.044637
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15333;-11.996039;-77.053483
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15311;-11.982715;-77.063608
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15311;-11.982596;-77.060952
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15311;-11.984593;-77.061726
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15311;-11.987391;-77.060413
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15311;-11.991825;-77.061888
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15311;-12.003065;-77.059479
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15311;-12.002908;-77.057466
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.972376;-77.048793
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.9709;-77.043121
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.972617;-77.044131
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.969454;-77.04035
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.967395;-77.038296
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.965944;-77.035581
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.973453;-77.04335
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.976158;-77.048327
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.979282;-77.048331
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.982634;-77.049275
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.980387;-77.043883
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.978253;-77.038142
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Independencia / COD 15331;-11.982369;-77.04203
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 05;-12.020557;-76.889611
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 05;-12.025373;-76.889462
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 05;-12.043855;-76.890719
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 05;-12.025717;-76.883558
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 05;-12.022264;-76.898433
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 02;-12.045935;-76.9285
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 02;-12.041095;-76.926518
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 02;-12.036304;-76.927956
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 6;-12.022377;-76.871377
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 6;-12.021818;-76.87258
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 6;-12.02238;-76.880136
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 6;-12.019501;-76.884042
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 6;-12.014549;-76.872366
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 6;-12.016139;-76.878492
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 3;-12.026676;-76.9154
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 3;-12.037002;-76.919366
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 3;-12.042659;-76.9165
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 3;-12.045928;-76.917029
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 3;-12.029903;-76.92233
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 3;-12.038313;-76.923097
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.025033;-76.920382
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.028137;-76.927208
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.024264;-76.926531
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.024583;-76.931745
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.024715;-76.933994
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.0297;-76.925929
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.029442;-76.930539
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.027282;-76.932691
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.033401;-76.929811
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.036773;-76.932668
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.030644;-76.933693
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.031232;-76.936717
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.034142;-76.933336
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.03931;-76.935754
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.037475;-76.937702
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.035051;-76.939006
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.031985;-76.941458
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.028074;-76.939223
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.024908;-76.940718
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.022863;-76.911351
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.020102;-76.902583
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.022008;-76.912235
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15498;-12.01845;-76.898994
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.017584;-76.90053
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.016325;-76.895782
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.015198;-76.895172
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.015843;-76.889473
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.013095;-76.88486
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.011863;-76.881454
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.011283;-76.878097
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.02136;-76.909103
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / ATE 01;-12.011707;-76.871145
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.06591;-76.976961
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.066889;-76.973224
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.068426;-76.977866
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.068839;-76.97917
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.069433;-76.984829
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.064364;-76.983508
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.062259;-76.985098
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.072998;-76.986732
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.073562;-76.983841
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.073096;-76.980962
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.072707;-76.978076
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.074301;-76.976239
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.070383;-76.973882
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.074778;-76.989456
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.075997;-76.9874
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.075972;-76.984366
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.078638;-76.985996
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.07662;-76.981169
COBERTURA ACTIVA WIN LIMA PROVINCIA 2023 / LIMA / Ate / COD 15022;-12.077625;-76.978565
