estado;alta;ruc;cliente;ubigeo;direccion;tamaño;actividad;ms_us;latitud;longitud
Vigente;9/06/2026;20602796591;INVERSIONES APS S.R.L.;Lima Lima San Juan de Lurigancho;"AV LOS JARDINES ESTE 948 PISO 2 LIMA - LIMA - SAN JUAN
DE LURIGANCHO";Micro Empresa;VENTA AL POR MENOR DE TAPICES ALFOMBRAS Y CUBRIMIENTOS PARA PAREDES Y PISOS EN COMERCIOS ESPECIALIZADOS;US;-12.00242925;-76.99542187
Vigente;9/06/2026;20604054690;FNM GASTRONOMIA REGIONAL E.I.R.L.;LIMA LIMA RIMAC;"JR. JORGE BRAVO RUEDA NRO.
214 URB. EL BOSQUE (1ER PISO) LIMA - LIMA - RIMAC";Micro Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;US;-12.01916275;-77.02904652
Vigente;9/06/2026;20608013360;NEOHM S.A.C.;Lima Lima Miraflores;CALLE URETA 175 (MIRAFLORES, LIMA, LIMA);Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.11814581;-77.04178651
Vigente;9/06/2026;20606709308;COCINAS SECRETAS S.A.C.;Lima Lima Surquillo;AVENIDA ANDRES ARAMBURU 924 PISO 1  LIMATAMBO (SURQUILLO, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.10231844;-77.02091168
Vigente;9/06/2026;20385246821;APAN Y CIA SRL;LIMA LIMA LIMA;JR. HUAROCHIRI NRO. 587 (ALT. CDRAS. 1 Y 2 AV. COLONIAL)LIMA - LIMA - LIMA PISO 1;Pequeña Empresa;VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS;US;-12.04627186;-77.04417681
Vigente;9/06/2026;20385246821;APAN Y CIA SRL;LIMA LIMA LIMA;"JR. JUAN DEL MAR Y BERNEDO NRO. 1275 URB.
CHACRARIOS LIMA - LIMA - LIMA PISO 1";Pequeña Empresa;VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS;US;-12.06093418;-77.05959986
Vigente;9/06/2026;10402870643;ULLOA BELLO ALEXANDER NOLBERTO;LA LIBERTAD TRUJILLO LA ESPERANZA;AV. EGIPTO 1078 LA ESPERANZA, TRUJILLO;ND;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES NO CLASIFICADOS PREVIAMENTE;MS;-8.074288857;-79.05648927
Vigente;9/06/2026;20613058266;SOLUCIONES ESPECIALIZADAS PARA LA ZONA INTIMA E.I.R.L. . .;Lima Lima Miraflores;CALLE JORGE CANTUARIAS 160 URBANIZACION CERCADO DE MIRAFLORES (MIRAFLORES, LIMA, LIMA)EDIFICIO CANTUARIAS 160 TORRE 1 PISO 9 DPTO 902;Micro Empresa;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;US;-12.12148872;-77.02823869
Vigente;9/06/2026;20610269754;ALMAREST S.A.C.;Lima Lima Surquillo;AV. REPUBLICA DE PANAMA NRO. 5659 DPTO. 305 LIMA - LIMA - MIRAFLORES (MIRAFLORES , LIMA, LIMA);Pequeña Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;US;-12.12008333;-77.01815928
Vigente;9/06/2026;20608013360;NEOHM S.A.C.;Lima Lima Miraflores;CALLE BERLIN 523  (MIRAFLORES, LIMA, LIMA);Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.12025076;-77.03526966
Vigente;9/06/2026;20550622930;CONTRATISTAS GENERALES NOOVA SOCIEDAD ANONIMA CERRADA NOOVA S.A.C.;Lima Lima Santiago de Surco;AVENIDA CRISTOBAL DE PERALTA NORTE 110 DPTO 702 RESIDENCIAL VALLE HERMOSO (SANTIAGO DE SURCO, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA;US;-12.10988343;-76.97755096
Vigente;6/06/2026;20514894893;VEPESA SERVICIOS GENERALES SOCIEDAD ANONIMA CERRADA;Lima Lima Ate;AV LA MOLINA 141, PISO 1, LIMA- LIMA- ATE;Pequeña Empresa;INSTALACIONES ELECTRICAS;MS;-12.05715547;-76.96334186
Vigente;8/06/2026;20478172428;CONCIENCIA AMBIENTAL S.R.L.;CALLAO CALLAO CALLAO;AV. MIGUEL GRAU 313 - CALLAO;Mediana Empresa;ACTIVIDADES DE DESCONTAMINACION Y OTROS SERVICIOS DE GESTION DE DESECHOS;US;-12.06469228;-77.14766246
Vigente;8/06/2026;20601897823;CITEC SERVICES PERU S.A.C.;Lima Lima San Miguel;CAL.MARTIN DE MURUA NRO. 150 INT. 909 URB. MARANGA ET. SIETE (SAN MIGUEL, LIMA, LIMA)EDIFICIO PLEXUS TORRE 1 PISO 9 DPTO 909;Pequeña Empresa;ENSAYOS Y ANALISIS TECNICOS;US;-12.07629236;-77.09094442
Vigente;6/06/2026;20613323733;PROMOTORA RENE S.A.C.;Lima Lima Surquillo;AVENIDA REPUBLICA DE PANAMA 5135 (SURQUILLO, LIMA, LIMA) OFICINA 502 PISO 5;Micro Empresa;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;MS;-12.11574369;-77.01829753
Vigente;10/06/2026;20546473440;RUMI LABORATORIO GEOTECNICO S.A.C.;Lima Lima Villa El Salvador;SECTOR 2 MZA. B LOTE. 1-A GRU. 16  - PISO 4(ENTRE AV EL SOL CON LOS ALAMOS). VILLA EL SALVADOR. LIMA. LIMA;Pequeña Empresa;ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA;US;-12.20281657;-76.94672774
