ruc;razón_social;estado;condicion;latitud;longitud;tipo_empresa;locales;oportunidad;estado;oportunidad;
20609509563;LAVORO TALENT TARGET SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.1217;-77.0292;;10; ; ;Decil 2;1
20607404624;LIRAMARU EXPRESS S.A.C.;ACTIVO;HABIDO;-12.0297;-77.01;PEQUEÑA EMPRESA;10;Validado;Vigente;Decil 2;2
20605971777;PLASIITA MIA E.I.R.L;ACTIVO;HABIDO;-12.0453;-77.0308;PEQUEÑA EMPRESA;10; ; ;Decil 2;3
20612052337;EURO CORP INDUSTRIAL S.A.C.;ACTIVO;HABIDO;-12.145;-77.005;;10; ; ;Decil 2;4
20606306441;SERVICIOS CORPORATIVOS KAMELOT PERU S.A.C;ACTIVO;HABIDO;-11.1081;-77.6103;PEQUEÑA EMPRESA;10; ; ;Decil 2;5
20609001438;CORPORACION BIOLABS S.A.C.;ACTIVO;HABIDO;-12.5181;-76.7381;PEQUEÑA EMPRESA;10; ; ;Decil 2;6
20607300098;EMPRESA DE TRANSPORTE CONDOR DE AYMARAES EIRL;ACTIVO;NO HABIDO;-12.145;-77.005;;10; ; ;Decil 2;7
20609221560;H & S CARGO EXPRESS S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;;10; ; ;Decil 2;8
20607073041;PROTEGO TOTAL S.A.C.;ACTIVO;HABIDO;-12.0264;-76.9214;;10; ; ;Decil 2;9
20610802495;A & B KALLPA DISTRIBUCION S.A.C.;ACTIVO;HABIDO;-12.0297;-77.01;PEQUEÑA EMPRESA;10; ; ;Decil 2;10
20608186850;GRUPO CRUZERO EXPRESS S.A.C.;ACTIVO;HABIDO;-12.0453;-77.0308;;10; ; ;Decil 2;11
20556239372;CORPORACION ALEC S.A.C.;ACTIVO;HABIDO;-12.0453;-77.0308;;10; ; ;Decil 2;12
20562991141;CORPORACIONES WAYI S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;PEQUEÑA EMPRESA;10; ; ;Decil 2;13
20551719716;LAQUEUS S.A.C.;ACTIVO;HABIDO;-12.1217;-77.0292;PEQUEÑA EMPRESA;10; ; ;Decil 2;14
20602502121;VAPE FAST S.A.C.;ACTIVO;HABIDO;-12.0922;-77.0794;;10; ; ;Decil 2;15
20601867312;TECHOS Y TECHOS SOCIEDAD ANONIMA CERRADA-TECHOS Y TECHOS S.A.C.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;10; ; ;Decil 2;16
